PassengerId,Survived,Pclass,Sex,Age,Siblings,Parch,Fare
165,0,3,1,1,4,1,39.6875
387,0,3,1,1,5,2,46.9
8,0,3,1,2,3,1,21.075
17,0,3,1,2,4,1,29.125
120,0,3,0,2,4,2,31.275
206,0,3,0,2,0,1,10.4625
298,0,1,0,2,1,2,151.55
643,0,3,0,2,3,2,27.9
825,0,3,1,2,4,1,39.6875
375,0,3,0,3,3,1,21.075
64,0,3,1,4,3,2,27.9
172,0,3,1,4,4,1,29.125
851,0,3,1,4,4,2,31.275
814,0,3,0,6,4,2,31.275
51,0,3,1,7,4,1,39.6875
279,0,3,1,7,4,1,29.125
25,0,3,0,8,3,1,21.075
788,0,3,1,8,4,1,29.125
148,0,3,0,9,2,2,34.375
183,0,3,1,9,4,2,31.3875
481,0,3,1,9,5,2,46.9
542,0,3,0,9,4,2,31.275
635,0,3,0,9,3,2,27.9
853,0,3,0,9,1,1,15.2458
420,0,3,0,10,0,2,24.15
820,0,3,1,10,3,2,27.9
60,0,3,1,11,5,2,46.9
543,0,3,0,11,4,2,31.275
732,0,3,1,11,0,0,18.7875
15,0,3,0,14,0,0,7.8542
684,0,3,1,14,5,2,46.9
687,0,3,1,14,4,1,39.6875
112,0,3,0,14.5,1,0,14.4542
353,0,3,1,15,1,1,7.2292
72,0,3,0,16,5,2,46.9
87,0,3,1,16,1,3,34.375
139,0,3,1,16,0,0,9.2167
267,0,3,1,16,4,1,39.6875
283,0,3,1,16,0,0,9.5
334,0,3,1,16,2,0,18
575,0,3,1,16,0,0,8.05
747,0,3,1,16,1,1,20.25
765,0,3,1,16,0,0,7.775
792,0,2,1,16,0,0,26
842,0,2,1,16,0,0,10.5
115,0,3,0,17,0,0,14.4583
164,0,3,1,17,0,0,8.6625
434,0,3,1,17,0,0,7.125
501,0,3,1,17,0,0,8.6625
533,0,3,1,17,1,1,7.2292
722,0,3,1,17,1,0,7.0542
845,0,3,1,17,0,0,8.6625
39,0,3,0,18,2,0,18
50,0,3,0,18,1,0,17.8
145,0,2,1,18,0,0,11.5
176,0,3,1,18,1,1,7.8542
229,0,2,1,18,0,0,13
372,0,3,1,18,1,0,6.4958
386,0,2,1,18,0,0,73.5
425,0,3,1,18,1,1,20.2125
506,0,1,1,18,1,0,108.9
655,0,3,0,18,0,0,6.75
676,0,3,1,18,0,0,7.775
689,0,3,1,18,0,0,7.7958
703,0,3,0,18,0,1,14.4542
758,0,2,1,18,0,0,11.5
776,0,3,1,18,0,0,7.75
808,0,3,0,18,0,0,7.775
835,0,3,1,18,0,0,8.3
28,0,1,1,19,3,2,263
68,0,3,1,19,0,0,8.1583
144,0,3,1,19,0,0,6.75
146,0,2,1,19,1,1,36.75
192,0,2,1,19,0,0,13
239,0,2,1,19,0,0,10.5
303,0,3,1,19,0,0,0
373,0,3,1,19,0,0,8.05
380,0,3,1,19,0,0,7.775
567,0,3,1,19,0,0,7.8958
576,0,3,1,19,0,0,14.5
647,0,3,1,19,0,0,7.8958
688,0,3,1,19,0,0,10.1708
716,0,3,1,19,0,0,7.65
749,0,1,1,19,1,0,53.1
878,0,3,1,19,0,0,7.8958
13,0,3,1,20,0,0,8.05
92,0,3,1,20,0,0,7.8542
114,0,3,0,20,1,0,9.825
132,0,3,1,20,0,0,7.05
379,0,3,1,20,0,0,4.0125
405,0,3,0,20,0,0,8.6625
442,0,3,1,20,0,0,9.5
641,0,3,1,20,0,0,7.8542
683,0,3,1,20,0,0,9.225
726,0,3,1,20,0,0,8.6625
841,0,3,1,20,0,0,7.925
877,0,3,1,20,0,0,9.8458
228,0,3,1,20.5,0,0,7.25
38,0,3,1,21,0,0,8.05
52,0,3,1,21,0,0,7.8
73,0,2,1,21,0,0,73.5
103,0,1,1,21,0,1,77.2875
116,0,3,1,21,0,0,7.925
121,0,2,1,21,2,0,73.5
174,0,3,1,21,0,0,7.925
403,0,3,0,21,1,0,9.825
409,0,3,1,21,0,0,7.775
422,0,3,1,21,0,0,7.7333
437,0,3,0,21,2,2,34.375
492,0,3,1,21,0,0,7.25
495,0,3,1,21,0,0,8.05
502,0,3,0,21,0,0,7.75
624,0,3,1,21,0,0,7.8542
625,0,3,1,21,0,0,16.1
653,0,3,1,21,0,0,8.4333
837,0,3,1,21,0,0,8.6625
862,0,2,1,21,1,0,11.5
1,0,3,1,22,1,0,7.25
61,0,3,1,22,0,0,7.2292
81,0,3,1,22,0,0,9
113,0,3,1,22,0,0,8.05
213,0,3,1,22,0,0,7.25
226,0,3,1,22,0,0,9.35
244,0,3,1,22,0,0,7.125
288,0,3,1,22,0,0,7.8958
321,0,3,1,22,0,0,7.25
374,0,1,1,22,0,0,135.6333
396,0,3,1,22,0,0,7.7958
475,0,3,0,22,0,0,9.8375
479,0,3,1,22,0,0,7.5208
522,0,3,1,22,0,0,7.8958
589,0,3,1,22,0,0,8.05
883,0,3,0,22,0,0,10.5167
136,0,2,1,23,0,0,15.0458
351,0,3,1,23,0,0,9.225
399,0,2,1,23,0,0,10.5
530,0,2,1,23,2,1,11.5
659,0,2,1,23,0,0,13
734,0,2,1,23,0,0,13
735,0,2,1,23,0,0,13
754,0,3,1,23,0,0,7.8958
817,0,3,0,23,0,0,7.925
834,0,3,1,23,0,0,7.8542
297,0,3,1,23.5,0,0,7.2292
90,0,3,1,24,0,0,8.05
119,0,1,1,24,0,1,247.5208
140,0,1,1,24,0,0,79.2
200,0,2,0,24,0,0,13
211,0,3,1,24,0,0,7.05
235,0,2,1,24,0,0,10.5
294,0,3,0,24,0,0,8.85
295,0,3,1,24,0,0,7.8958
500,0,3,1,24,0,0,7.7958
